,in_top_1,in_top_2,in_top_3,n_annotations,excluded_system,repetition_nb
0,0.19444444444444445,0.3611111111111111,0.6111111111111112,10,FEM_long,0
0,0.2777777777777778,0.5,0.6944444444444444,10,FEM_long,1
0,0.25,0.5277777777777778,0.7222222222222222,10,FEM_long,2
0,0.2222222222222222,0.3888888888888889,0.6666666666666666,10,FEM_long,3
0,0.19444444444444445,0.3611111111111111,0.6388888888888888,10,FEM_long,4
0,0.19444444444444445,0.4166666666666667,0.6111111111111112,10,FEM_long,5
0,0.1388888888888889,0.3611111111111111,0.6111111111111112,10,FEM_long,6
0,0.19444444444444445,0.4166666666666667,0.6944444444444444,10,FEM_long,7
0,0.2222222222222222,0.4166666666666667,0.6388888888888888,10,FEM_long,8
0,0.25,0.4444444444444444,0.6666666666666666,10,FEM_long,9
0,0.19444444444444445,0.3888888888888889,0.6388888888888888,10,FEM_long,10
0,0.19444444444444445,0.3611111111111111,0.6388888888888888,10,FEM_long,11
0,0.25,0.4444444444444444,0.6388888888888888,10,FEM_long,12
0,0.19444444444444445,0.4444444444444444,0.7222222222222222,10,FEM_long,13
0,0.16666666666666666,0.3611111111111111,0.6666666666666666,10,FEM_long,14
0,0.2222222222222222,0.4444444444444444,0.6944444444444444,10,FEM_long,15
0,0.19444444444444445,0.3888888888888889,0.6388888888888888,10,FEM_long,16
0,0.2222222222222222,0.4166666666666667,0.6388888888888888,10,FEM_long,17
0,0.2222222222222222,0.4166666666666667,0.6388888888888888,10,FEM_long,18
0,0.25,0.3888888888888889,0.6111111111111112,10,FEM_long,19
0,0.19444444444444445,0.4166666666666667,0.6666666666666666,10,FEM_long,20
0,0.2222222222222222,0.3888888888888889,0.6666666666666666,10,FEM_long,21
0,0.19444444444444445,0.3888888888888889,0.6944444444444444,10,FEM_long,22
0,0.1388888888888889,0.3611111111111111,0.6666666666666666,10,FEM_long,23
0,0.25,0.4722222222222222,0.7222222222222222,10,FEM_long,24
0,0.19444444444444445,0.4166666666666667,0.6666666666666666,10,FEM_long,25
0,0.25,0.4722222222222222,0.6944444444444444,10,FEM_long,26
0,0.2222222222222222,0.4444444444444444,0.6388888888888888,10,FEM_long,27
0,0.25,0.4166666666666667,0.6944444444444444,10,FEM_long,28
0,0.1388888888888889,0.3611111111111111,0.5833333333333334,10,FEM_long,29
0,0.25,0.4444444444444444,0.6388888888888888,10,FEM_long,30
0,0.3055555555555556,0.5555555555555556,0.7222222222222222,10,FEM_long,31
